claim_ID,insured_amount,claim_amount,coverage_type,months_since_policy_start,province,claim_hour,previous_claim_count,sales_channel,customer_seniority_years,risk_zone
43,1942000,33000,Fire,4,Santa Fe,14,2,Broker,3.7,Medium
44,1849000,191000,Fire,32,Cordoba,13,2,Branch,6.1,Medium
45,1261000,219000,Fire,28,CABA,10,2,Online,1.5,Medium
46,1640000,395000,Fire,20,Buenos Aires,10,1,Broker,6.4,Medium
47,1770000,229000,Fire,69,Santa Fe,10,2,Call Center,3.5,High
48,2529000,218000,Theft,74,Buenos Aires,22,0,Branch,7,High
49,2172000,382000,Fire,47,Santa Fe,23,2,Broker,3.7,Medium
50,1118000,138000,Fire,8,CABA,7,2,Broker,5.9,Low
51,2162000,93000,Flood,6,Buenos Aires,21,1,Online,2.2,High
52,1807000,264000,Theft,43,Mendoza,13,0,Broker,10.5,Medium
53,1662000,155000,Theft,25,Mendoza,19,2,Online,2.6,Medium
54,2306000,159000,Fire,12,Buenos Aires,1,4,Online,8.2,Medium
55,2515000,357000,Theft,12,Cordoba,0,2,Online,1.8,High
56,2466000,388000,Liability,46,Mendoza,12,2,Broker,3.3,High
57,1580000,379000,Theft,4,Santa Fe,23,3,Branch,2.9,High
58,1845000,411000,Theft,69,Cordoba,20,3,Branch,7.5,Medium
59,2166000,424000,Liability,24,Santa Fe,8,2,Call Center,5.9,Medium
60,2488000,87000,Flood,37,CABA,10,1,Branch,4.9,Medium
61,1760000,345000,Glass,11,Mendoza,7,0,Branch,3.6,High
62,1907000,247000,Fire,21,CABA,14,1,Call Center,0.5,High
63,1447000,225000,Liability,33,Cordoba,17,3,Call Center,1.6,High
64,1402000,356000,Fire,13,Santa Fe,14,0,Broker,0.1,Medium
65,2406000,127000,Liability,16,Mendoza,10,2,Online,4.6,High
66,2678000,125000,Theft,20,Buenos Aires,19,1,Online,0.7,Medium
67,1964000,363000,Theft,1,CABA,15,3,Online,0.7,Medium
68,2502000,349000,Liability,47,Mendoza,18,3,Broker,4.9,Medium
69,2181000,314000,Liability,48,Buenos Aires,13,3,Broker,5.9,Medium
70,1677000,212000,Liability,7,Cordoba,8,1,Call Center,0.5,High
71,2181000,374000,Fire,50,Buenos Aires,17,3,Branch,3.3,High
72,2769000,368000,Liability,32,Cordoba,11,2,Call Center,0.5,High
73,1982000,309000,Glass,15,CABA,21,2,Branch,0.4,Low
74,2782000,182000,Fire,10,Buenos Aires,14,2,Call Center,5,Low
75,690000,257000,Theft,12,Santa Fe,9,0,Call Center,6.8,High
76,2411000,384000,Glass,18,Santa Fe,22,0,Online,1.5,Medium
77,2044000,433000,Theft,12,Santa Fe,23,1,Branch,2.7,Low
78,1850000,267000,Liability,13,Cordoba,18,0,Call Center,3.6,Low
79,2046000,275000,Theft,5,Buenos Aires,9,0,Broker,10.3,Low
80,1006000,284000,Flood,29,Mendoza,17,2,Online,5.1,High
81,1890000,327000,Flood,22,Buenos Aires,14,0,Online,9.7,Low
82,2179000,242000,Fire,115,Buenos Aires,14,2,Online,1.3,Low
83,2739000,11000,Theft,3,CABA,17,0,Online,3.7,Medium
84,1741000,419000,Theft,2,Mendoza,1,1,Online,5.8,High
85,1596000,479000,Fire,17,Santa Fe,9,3,Online,1.3,Low
86,1749000,239000,Theft,3,Cordoba,6,0,Online,0.9,Low
87,2458000,193000,Glass,22,Mendoza,12,1,Branch,5.3,Medium
88,2164000,286000,Glass,5,Santa Fe,9,6,Branch,0.9,Low
89,1735000,281000,Glass,15,Cordoba,19,1,Broker,5.3,Medium
90,2257000,400000,Fire,22,Mendoza,22,1,Branch,1.4,Low
91,2049000,305000,Glass,14,Cordoba,12,4,Call Center,2.8,Low
92,2484000,221000,Theft,9,Cordoba,21,1,Online,4.1,High
93,1649000,168000,Fire,36,Santa Fe,19,2,Branch,2.4,Low
94,1836000,387000,Theft,46,CABA,4,1,Call Center,1.6,High
95,1804000,360000,Glass,7,Santa Fe,10,2,Online,12.5,Medium
96,1268000,406000,Theft,40,Mendoza,7,2,Branch,14.2,Medium
97,2148000,203000,Flood,11,Santa Fe,5,1,Online,1,High
98,2131000,484000,Liability,16,Santa Fe,2,1,Branch,11.1,Low
99,2003000,126000,Theft,6,Santa Fe,9,2,Branch,0.3,Medium
100,1883000,371000,Fire,23,Mendoza,7,1,Branch,0.2,Low
101,1292000,109000,Fire,2,Mendoza,22,0,Broker,5.5,Low
102,1790000,221000,Liability,21,Cordoba,19,1,Branch,1.8,High
103,1829000,456000,Liability,109,Cordoba,17,2,Broker,1.7,Medium
104,1599000,383000,Theft,33,Mendoza,1,1,Broker,2.8,Medium
105,1919000,245000,Theft,54,Cordoba,17,1,Branch,1,Low
106,2202000,248000,Glass,14,Santa Fe,1,3,Call Center,10.6,Medium
107,2943000,310000,Theft,3,Buenos Aires,12,0,Call Center,0.5,Medium
108,2087000,351000,Liability,8,Buenos Aires,23,1,Call Center,6.3,Medium
109,2129000,425000,Liability,1,Cordoba,13,1,Online,1.5,Low
110,1963000,254000,Fire,16,Cordoba,20,3,Online,4.1,High
111,1041000,139000,Flood,25,CABA,12,2,Branch,4.1,Low
112,1987000,316000,Liability,13,Santa Fe,14,3,Online,1.6,High
113,2030000,254000,Fire,19,Santa Fe,11,1,Call Center,7.3,Low
114,3232000,170000,Glass,9,CABA,11,1,Online,1.3,Medium
115,1904000,330000,Flood,2,CABA,11,0,Online,0.5,High
116,2151000,279000,Glass,13,Buenos Aires,22,0,Branch,0.5,Low
117,1983000,331000,Theft,19,Santa Fe,11,0,Call Center,12.9,High
118,1416000,211000,Flood,97,Santa Fe,22,2,Broker,3.2,Low
119,2571000,349000,Fire,10,Mendoza,17,2,Branch,9.3,Medium
120,2376000,168000,Theft,27,Santa Fe,23,1,Broker,10,Medium
121,2396000,217000,Fire,41,Buenos Aires,14,0,Online,5.6,High
122,1545000,276000,Theft,9,Buenos Aires,5,1,Branch,16,Low
123,2701000,474000,Flood,63,CABA,7,2,Branch,6,Low
124,1299000,378000,Glass,9,Buenos Aires,12,2,Branch,6.3,Medium
125,2293000,408000,Glass,84,Buenos Aires,2,0,Broker,0.5,High
126,3095000,442000,Theft,0,Mendoza,18,2,Branch,12.3,Medium
127,1505000,660000,Flood,24,Buenos Aires,18,2,Broker,1.2,Medium
128,1717000,304000,Theft,37,Cordoba,13,1,Broker,10.3,Medium
129,2050000,442000,Fire,7,Cordoba,21,1,Call Center,6.6,Medium
130,1748000,401000,Liability,2,CABA,8,2,Call Center,5.2,Medium
131,1225000,400000,Theft,0,Santa Fe,1,1,Broker,2,Low
132,2034000,477000,Fire,1,Santa Fe,9,0,Call Center,1.7,Low
133,1469000,258000,Flood,18,Mendoza,18,0,Broker,13.4,Medium
134,2237000,250000,Liability,43,Buenos Aires,13,1,Call Center,5.1,High
135,1540000,332000,Flood,1,Buenos Aires,7,4,Call Center,0.5,High
136,2775000,282000,Liability,2,Buenos Aires,18,2,Call Center,3.1,Medium
137,1608000,332000,Fire,0,Buenos Aires,11,1,Broker,10.4,Medium
138,1839000,456000,Fire,7,Buenos Aires,3,2,Branch,2.8,High
139,2407000,252000,Flood,60,Cordoba,19,3,Call Center,5.3,Medium
140,1385000,270000,Fire,7,Mendoza,5,3,Call Center,7.7,Low
141,2114000,317000,Liability,13,CABA,13,0,Online,0.5,Medium
142,2654000,277000,Fire,4,CABA,6,1,Branch,8.7,Medium
143,1196000,109000,Liability,2,Cordoba,1,3,Call Center,5,High
144,2092000,242000,Fire,4,Buenos Aires,6,0,Online,6.9,Medium
145,2130000,369000,Fire,5,Buenos Aires,3,0,Online,8.3,Low
146,2391000,444000,Liability,3,Santa Fe,22,1,Broker,1.7,Low
147,1382000,185000,Theft,37,CABA,18,1,Online,1.6,Medium
148,1340000,184000,Liability,15,Santa Fe,10,3,Branch,1.9,Low
149,2261000,303000,Glass,18,CABA,11,3,Online,0.3,Medium
150,2148000,92000,Liability,11,Santa Fe,16,1,Call Center,3.5,Low
151,2125000,256000,Theft,5,Buenos Aires,10,2,Broker,5.9,Low
152,2173000,126000,Liability,2,Buenos Aires,8,0,Call Center,1.4,Medium
153,1660000,437000,Flood,1,Buenos Aires,22,3,Broker,4.8,Medium
154,2116000,223000,Liability,4,Mendoza,17,2,Call Center,1.2,Medium
155,2147000,465000,Liability,45,Santa Fe,20,4,Broker,4.6,Medium
156,1643000,411000,Glass,5,Mendoza,19,0,Call Center,0.2,Medium
157,2933000,235000,Glass,10,Mendoza,22,0,Call Center,0.1,Medium
158,2237000,193000,Theft,20,Santa Fe,17,2,Branch,3.6,Medium
159,1404000,281000,Flood,17,Buenos Aires,7,2,Call Center,2.7,Low
160,2328000,290000,Fire,26,Cordoba,22,0,Broker,0.4,Medium
161,1513000,335000,Flood,5,CABA,10,0,Call Center,1.3,Low
162,2394000,222000,Fire,17,Santa Fe,18,1,Call Center,4.3,Low
163,2579000,375000,Theft,35,Buenos Aires,21,2,Online,5.2,Low
164,1590000,327000,Glass,11,Mendoza,8,2,Broker,5.2,Low
165,2482000,266000,Fire,85,Buenos Aires,16,3,Broker,6.9,Low
166,2206000,229000,Fire,20,Santa Fe,16,1,Call Center,0.8,Low
167,2411000,282000,Liability,26,Santa Fe,16,1,Broker,11.2,Medium
168,2948000,218000,Liability,14,CABA,16,2,Broker,2.6,Medium
169,1877000,306000,Fire,46,CABA,11,1,Broker,8.8,Low
170,1623000,309000,Theft,14,Santa Fe,1,3,Call Center,0.3,Medium
171,1555000,326000,Theft,68,CABA,2,1,Call Center,2.3,Medium
172,1592000,477000,Fire,8,Mendoza,10,1,Call Center,5,High
173,1961000,287000,Theft,48,Buenos Aires,19,3,Call Center,2,High
174,2171000,400000,Fire,24,Cordoba,3,4,Online,6.4,Medium
175,2138000,323000,Theft,38,Buenos Aires,2,2,Branch,1,Medium
176,2414000,276000,Liability,0,Buenos Aires,7,3,Branch,9.6,High
177,2007000,288000,Glass,7,Santa Fe,19,2,Call Center,2.4,High
178,2727000,294000,Liability,45,Cordoba,3,1,Online,8.1,Medium
179,1868000,328000,Fire,9,CABA,3,2,Call Center,0.9,High
180,3360000,204000,Liability,29,CABA,10,3,Branch,10.3,High
181,2313000,153000,Glass,116,Buenos Aires,18,1,Broker,3.5,Medium
182,1571000,365000,Theft,4,Santa Fe,19,1,Online,0.7,Medium
183,1465000,390000,Theft,12,Cordoba,4,0,Branch,6.9,Medium
184,2241000,375000,Flood,4,Santa Fe,17,0,Broker,16.4,High
185,1888000,315000,Liability,4,Cordoba,21,0,Broker,0.5,Low
186,2357000,377000,Glass,24,Cordoba,22,2,Online,6.8,High
187,2237000,371000,Liability,5,CABA,17,1,Broker,8.7,High
188,1964000,379000,Fire,15,Buenos Aires,9,3,Branch,0.9,Low
189,1577000,214000,Fire,91,CABA,23,2,Online,6.4,Medium
190,1243000,190000,Liability,9,Santa Fe,19,1,Broker,9.6,Medium
191,1777000,261000,Theft,49,CABA,3,1,Call Center,1,Medium
192,2428000,298000,Theft,12,Buenos Aires,22,5,Broker,6.1,Low
193,2107000,276000,Fire,7,Mendoza,9,0,Broker,13.1,High
194,1377000,112000,Glass,9,CABA,14,2,Broker,3.1,Medium
195,2087000,472000,Glass,3,Santa Fe,6,3,Call Center,10.1,Medium
196,2193000,273000,Theft,27,Buenos Aires,20,0,Broker,1.5,Medium
197,1558000,317000,Liability,17,Santa Fe,1,0,Online,0.3,Low
198,2077000,424000,Fire,22,Cordoba,11,1,Online,6.2,Medium
199,2029000,66000,Theft,8,Buenos Aires,15,0,Broker,7.5,Low
200,1429000,249000,Theft,25,Cordoba,14,1,Online,6.4,High
201,2179000,261000,Liability,4,Buenos Aires,11,1,Online,1.5,High
202,2280000,266000,Theft,25,Mendoza,9,0,Online,12.8,Medium
203,2542000,283000,Theft,2,Mendoza,17,2,Call Center,0.9,Medium
204,2527000,445000,Fire,12,Buenos Aires,5,0,Branch,5.4,High
205,1311000,367000,Fire,22,Cordoba,13,1,Broker,2.1,Medium
206,1531000,396000,Flood,46,Cordoba,4,0,Broker,5,Low
207,2258000,305000,Fire,40,Santa Fe,11,2,Branch,2.7,Low
208,2257000,160000,Fire,17,Buenos Aires,14,3,Branch,1.2,Medium
209,2258000,92000,Theft,51,Cordoba,8,0,Online,0.5,Medium
210,3926000,147000,Theft,16,Buenos Aires,20,0,Call Center,1.8,Medium
211,2285000,336000,Liability,17,Mendoza,12,1,Call Center,3,Medium
212,2568000,303000,Theft,30,Cordoba,1,1,Call Center,4.2,Medium
213,2477000,279000,Fire,50,Cordoba,16,4,Call Center,2.1,High
214,2326000,263000,Fire,22,Mendoza,5,0,Broker,4.5,Low
215,1842000,501000,Fire,69,Santa Fe,18,2,Broker,10.9,Medium
216,2379000,218000,Theft,6,Buenos Aires,21,0,Call Center,0.4,Medium
217,1614000,393000,Glass,61,Buenos Aires,8,0,Broker,1.9,Medium
218,1882000,300000,Fire,6,Buenos Aires,5,2,Broker,11.7,Medium
219,1757000,294000,Liability,17,Buenos Aires,22,0,Branch,4.8,Low
220,2041000,418000,Glass,38,CABA,10,1,Broker,0.8,Medium
221,3157000,446000,Fire,38,Mendoza,12,1,Broker,1.3,Medium
222,1066000,276000,Liability,7,Santa Fe,16,3,Call Center,3.5,Medium
223,2343000,380000,Liability,102,Mendoza,5,0,Broker,5.7,Medium
224,1194000,336000,Liability,2,Buenos Aires,21,1,Online,4.6,Low
225,1764000,301000,Glass,0,CABA,15,1,Broker,3.6,Low
226,2544000,320000,Theft,44,CABA,11,1,Branch,5,Low
227,2032000,231000,Fire,41,Mendoza,16,1,Broker,2.8,High
228,1461000,269000,Theft,29,Cordoba,1,1,Online,6.3,Medium
229,1642000,242000,Fire,45,Santa Fe,14,0,Branch,7.6,High
230,2340000,390000,Theft,3,CABA,21,1,Branch,2.7,Low
231,1635000,290000,Glass,2,Buenos Aires,2,2,Broker,6.1,Low
232,2108000,170000,Theft,83,Cordoba,18,0,Broker,6.8,High
233,2023000,228000,Theft,23,Santa Fe,1,2,Broker,6.6,Low
234,1674000,-20000,Fire,60,Buenos Aires,11,3,Branch,8.4,Medium
235,3072000,251000,Fire,56,Mendoza,19,0,Online,8,High
236,2317000,304000,Fire,25,CABA,12,3,Call Center,7.1,Low
237,987000,286000,Glass,23,Mendoza,0,2,Broker,1.9,Low
238,2093000,498000,Flood,10,Cordoba,16,0,Branch,6.4,High
239,1669000,357000,Theft,3,CABA,7,2,Call Center,11.2,Medium
240,2426000,353000,Fire,27,Buenos Aires,23,1,Broker,5.5,Low
241,1604000,136000,Glass,40,Cordoba,8,0,Broker,3.6,Medium
242,1943000,264000,Glass,18,Santa Fe,23,0,Broker,1.8,Low
243,2252000,251000,Flood,1,Buenos Aires,1,0,Online,1.9,Medium
244,2433000,221000,Liability,3,Santa Fe,11,0,Online,2.4,Low
245,1400000,220000,Theft,2,CABA,17,2,Branch,8,Medium
246,1833000,119000,Liability,25,Santa Fe,17,1,Broker,2,High
247,1763000,172000,Fire,19,CABA,22,2,Branch,9.4,Medium
248,1673000,387000,Liability,15,Santa Fe,18,2,Call Center,0.8,High
249,2883000,286000,Liability,18,Mendoza,21,0,Online,1.1,Medium
250,2202000,249000,Liability,7,Mendoza,4,1,Online,4.7,Medium
251,1370000,299000,Liability,39,Cordoba,20,1,Broker,0.6,High
252,2459000,417000,Liability,9,Santa Fe,13,2,Call Center,2.4,Medium
253,3061000,300000,Liability,24,CABA,19,4,Call Center,1.9,Medium
254,2516000,354000,Fire,11,Buenos Aires,15,0,Branch,2.9,High
255,1240000,215000,Glass,1,CABA,5,2,Online,2.6,Medium
256,1758000,238000,Liability,7,Mendoza,10,0,Broker,10.1,Medium
257,2633000,335000,Liability,80,Buenos Aires,2,0,Online,3.5,Medium
258,1646000,489000,Theft,5,Santa Fe,22,0,Online,1.7,Medium
259,2222000,443000,Flood,2,Mendoza,4,0,Branch,4.2,Low
260,2387000,358000,Theft,8,Santa Fe,21,2,Call Center,8.8,Low
261,1537000,315000,Liability,50,Mendoza,16,1,Online,4.4,Low
262,1970000,440000,Flood,8,Santa Fe,17,3,Broker,8.1,Medium
263,500000,379000,Flood,12,Mendoza,9,4,Branch,2.4,High
264,1488000,71000,Liability,8,Cordoba,20,0,Broker,3.8,High
265,1874000,195000,Fire,108,CABA,15,1,Online,12.1,Medium
266,1376000,334000,Flood,215,CABA,12,1,Online,22.7,Medium
267,2816000,121000,Flood,15,Santa Fe,13,1,Online,4.9,Medium
268,1285000,210000,Fire,36,Santa Fe,8,5,Broker,1.4,Medium
269,1780000,230000,Theft,5,Buenos Aires,4,0,Branch,0.4,Low
270,2065000,274000,Theft,11,Buenos Aires,23,1,Branch,2.1,Medium
271,2721000,271000,Fire,27,CABA,2,0,Call Center,3,Medium
272,1282000,271000,Fire,8,CABA,14,1,Broker,1.3,Medium
273,2582000,383000,Theft,6,Cordoba,20,2,Online,2.7,Low
274,2005000,273000,Flood,61,Santa Fe,8,0,Call Center,0.8,High
275,1509000,262000,Fire,6,Santa Fe,8,2,Online,1.1,Low
276,2231000,165000,Flood,1,CABA,7,1,Online,11.3,Medium
277,2100000,402000,Glass,33,Santa Fe,21,0,Broker,19.3,Medium
278,1700000,233000,Glass,6,Buenos Aires,2,0,Broker,7.9,Medium
279,2035000,191000,Theft,14,Santa Fe,5,1,Branch,0.9,Medium
280,1807000,321000,Theft,2,Buenos Aires,12,1,Call Center,5.7,Low
281,2057000,223000,Theft,1,Mendoza,8,1,Call Center,30,Low
282,2331000,247000,Flood,14,Santa Fe,15,2,Call Center,1.7,Low
283,2793000,326000,Theft,9,Mendoza,12,2,Online,0.9,Low
284,1381000,267000,Fire,16,CABA,17,3,Call Center,2.6,High
285,3067000,531000,Fire,81,Santa Fe,20,1,Branch,4.8,Medium
286,1024000,293000,Theft,12,Cordoba,8,3,Broker,1.9,Medium
287,1924000,362000,Flood,22,Cordoba,7,1,Online,0.1,Medium
288,2294000,106000,Liability,2,Mendoza,18,0,Branch,11.5,Medium
289,2140000,214000,Liability,52,Cordoba,17,2,Call Center,9,Low
290,1689000,191000,Fire,39,Buenos Aires,15,2,Broker,2.1,Medium
291,1896000,205000,Glass,17,CABA,10,2,Call Center,10.9,Low
292,1753000,342000,Theft,4,Buenos Aires,10,1,Broker,5.4,Medium
293,1705000,404000,Flood,13,CABA,18,0,Online,1.2,Medium
294,2425000,334000,Theft,8,Cordoba,6,2,Branch,1.1,Medium
295,2179000,277000,Liability,124,CABA,23,1,Broker,3.9,Medium
296,1654000,237000,Theft,16,Buenos Aires,22,3,Online,2.2,Medium
297,2450000,411000,Fire,13,Mendoza,6,4,Branch,4.2,High
298,2154000,507000,Fire,4,Mendoza,7,1,Online,1,Medium
299,2406000,314000,Fire,6,Santa Fe,7,2,Branch,11.2,High
300,2315000,394000,Theft,29,Buenos Aires,4,2,Broker,1.1,High
301,1586000,334000,Liability,18,Buenos Aires,14,1,Online,10.2,Low
302,1720000,376000,Fire,10,Mendoza,22,2,Branch,18.5,Medium
303,2374000,184000,Theft,8,Cordoba,14,1,Call Center,0.6,Low
304,2305000,251000,Theft,5,Mendoza,7,2,Call Center,0.4,Low
305,1990000,340000,Theft,0,Santa Fe,8,0,Branch,5.3,Medium
306,2059000,421000,Fire,90,Santa Fe,4,2,Online,1,Low
307,2639000,218000,Theft,33,Buenos Aires,19,0,Online,5.3,Low
308,1704000,97000,Theft,63,Buenos Aires,21,0,Call Center,5.5,Medium
309,2274000,250000,Fire,12,Santa Fe,21,1,Branch,1.3,Medium
310,1899000,401000,Liability,48,Buenos Aires,19,2,Broker,9.4,Medium
311,1891000,142000,Fire,7,CABA,20,1,Branch,5.3,High
312,2549000,182000,Flood,17,Santa Fe,13,0,Branch,1.1,Medium
313,2413000,316000,Flood,5,Santa Fe,20,1,Online,1.9,Medium
314,2407000,288000,Liability,35,Buenos Aires,21,1,Call Center,3.3,Medium
315,2653000,359000,Theft,16,CABA,0,0,Online,3.6,Low
316,2011000,177000,Liability,18,Santa Fe,13,0,Broker,6.2,Medium
317,2341000,268000,Liability,47,CABA,12,1,Branch,4.8,Medium
318,1845000,420000,Theft,32,Santa Fe,17,4,Branch,5.7,Medium
319,2162000,181000,Fire,81,CABA,21,1,Broker,3.8,Medium
320,1935000,448000,Fire,12,Mendoza,20,1,Online,0.7,Low
321,2048000,193000,Fire,14,Santa Fe,14,0,Branch,5.4,Medium
322,2298000,385000,Liability,22,CABA,10,1,Call Center,3.2,Low
323,1591000,263000,Glass,14,Mendoza,11,2,Online,2.5,Low
324,3046000,186000,Theft,13,Buenos Aires,5,0,Broker,6.2,High
325,1497000,250000,Fire,9,Cordoba,23,2,Branch,2.5,High
326,1393000,354000,Fire,42,CABA,22,1,Online,7.9,Medium
327,2579000,299000,Theft,18,Mendoza,16,2,Call Center,5.9,Medium
328,2396000,412000,Fire,22,Santa Fe,6,2,Broker,0.4,Medium
329,2312000,444000,Theft,5,Mendoza,1,3,Call Center,7.2,Medium
330,2314000,182000,Fire,6,Cordoba,23,1,Online,6.2,High
331,1994000,174000,Liability,9,Cordoba,21,0,Branch,1.7,Low
332,1551000,170000,Liability,15,Cordoba,22,1,Branch,14.9,High
333,2038000,210000,Flood,1,Buenos Aires,21,2,Call Center,2.2,Low
334,1661000,410000,Liability,52,CABA,19,1,Branch,0,Medium
335,2488000,356000,Fire,56,Santa Fe,12,4,Call Center,1.8,Medium
336,1926000,245000,Glass,26,CABA,11,1,Call Center,3.9,Medium
337,1587000,299000,Fire,9,CABA,16,2,Branch,6.1,Medium
338,1839000,440000,Liability,11,Buenos Aires,20,2,Branch,1.1,Medium
339,2206000,491000,Fire,31,Santa Fe,0,2,Online,0.8,Medium
340,1718000,326000,Fire,8,Buenos Aires,7,4,Online,7.3,High
341,1589000,34000,Theft,22,Santa Fe,12,1,Branch,6,Low
342,2122000,330000,Fire,56,Mendoza,23,4,Broker,17.4,Medium
343,2122000,393000,Theft,12,Santa Fe,0,0,Online,7.9,Medium
344,1747000,322000,Theft,21,Buenos Aires,4,2,Broker,1.1,High
345,1764000,373000,Glass,63,Mendoza,13,0,Branch,4.9,Low
346,2116000,336000,Theft,9,Santa Fe,19,0,Call Center,3.4,Low
347,1276000,177000,Theft,34,Cordoba,21,3,Online,3.3,Medium
348,1296000,211000,Glass,33,Buenos Aires,10,3,Branch,4.2,High
349,1641000,268000,Fire,63,Mendoza,2,3,Branch,0.4,Medium
350,1893000,407000,Glass,46,Cordoba,14,0,Broker,4.4,Medium
351,2155000,223000,Glass,33,Mendoza,21,1,Branch,3.2,Low
352,2738000,346000,Flood,24,Santa Fe,6,3,Broker,2.5,Medium
353,2429000,330000,Theft,6,Santa Fe,15,2,Call Center,1.8,Low
354,1920000,459000,Theft,26,Mendoza,7,2,Online,1.8,High
355,1990000,296000,Liability,7,Mendoza,10,2,Branch,2.2,High
356,1499000,125000,Fire,13,Santa Fe,16,0,Broker,3.2,Medium
357,1991000,365000,Fire,29,CABA,17,5,Branch,5.1,Low
358,1856000,514000,Theft,26,Mendoza,19,1,Online,5.2,Low
359,2161000,371000,Liability,12,CABA,14,0,Call Center,2,Low
360,1586000,221000,Fire,4,Santa Fe,6,1,Branch,1.6,Medium
361,2260000,192000,Liability,15,Cordoba,21,2,Call Center,0.5,Medium
362,2766000,205000,Fire,7,Cordoba,14,3,Branch,2.2,Low
363,1946000,500000,Liability,7,Buenos Aires,23,1,Call Center,4.1,Low
364,2201000,267000,Theft,9,Buenos Aires,9,1,Branch,2.5,High
365,2345000,234000,Fire,29,Santa Fe,4,1,Broker,4.3,Low
366,1799000,284000,Fire,16,Mendoza,16,4,Branch,9.8,Low
367,2112000,268000,Fire,11,Cordoba,5,0,Branch,26.8,Medium
368,2006000,457000,Fire,55,Mendoza,2,1,Broker,4.3,High
369,2049000,199000,Theft,29,CABA,10,3,Broker,4.6,Medium
370,1613000,418000,Flood,16,Santa Fe,7,1,Broker,4.7,High
371,2012000,312000,Liability,13,Buenos Aires,0,1,Call Center,3.6,Medium
372,2249000,421000,Glass,41,Santa Fe,22,1,Call Center,0.2,Low
373,2726000,458000,Flood,4,Buenos Aires,10,2,Call Center,1.8,Low
374,2480000,308000,Theft,26,Santa Fe,11,4,Branch,28,Medium
375,3077000,268000,Fire,0,Santa Fe,9,2,Branch,4.7,Medium
376,1616000,307000,Flood,0,Buenos Aires,0,1,Broker,0.7,Low
377,2436000,291000,Liability,64,CABA,12,2,Branch,4,Medium
378,2092000,134000,Flood,17,Santa Fe,18,1,Branch,1.8,Low
379,3095000,455000,Liability,9,Cordoba,15,1,Broker,6.4,Low
380,1596000,325000,Glass,37,Santa Fe,20,3,Broker,14.7,Medium
